# BUSCO version is: 5.2.2 
# The lineage dataset is:  (Creation date: 2024-01-08, number of genomes: 80, number of BUSCOs: 1152)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
2858at135614	Complete	cluster_001_consensus	1694593	1696683	-	1041.6	594	https://v10-1.orthodb.org/?query=2858at135614	Methionine--tRNA ligase
2882at135614	Complete	cluster_001_consensus	1956896	1959274	+	1111.6	683	https://v10-1.orthodb.org/?query=2882at135614	Phenylalanine--tRNA ligase beta subunit
2913at135614	Complete	cluster_001_consensus	4451472	4453220	+	850.5	474	https://v10-1.orthodb.org/?query=2913at135614	DNA primase
2982at135614	Complete	cluster_001_consensus	4064035	4066347	-	821.0	522	https://v10-1.orthodb.org/?query=2982at135614	type II secretion system protein GspD
2989at135614	Complete	cluster_001_consensus	457892	459796	-	1049.6	551	https://v10-1.orthodb.org/?query=2989at135614	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
3039at135614	Complete	cluster_001_consensus	2876329	2878269	-	998.5	494	https://v10-1.orthodb.org/?query=3039at135614	Peptidase M41
3053at135614	Complete	cluster_001_consensus	3847839	3849668	-	708.3	465	https://v10-1.orthodb.org/?query=3053at135614	NolW-like
3069at135614	Complete	cluster_001_consensus	1124410	1126149	-	1034.5	514	https://v10-1.orthodb.org/?query=3069at135614	Glutamine--tRNA ligase
3081at135614	Complete	cluster_001_consensus	4044691	4046352	+	1012.6	496	https://v10-1.orthodb.org/?query=3081at135614	energy-dependent translational throttle protein EttA
3091at135614	Complete	cluster_001_consensus	2650097	2651779	+	890.7	480	https://v10-1.orthodb.org/?query=3091at135614	Long-chain fatty acid--CoA ligase
3184at135614	Complete	cluster_001_consensus	4073253	4074980	-	880.6	482	https://v10-1.orthodb.org/?query=3184at135614	type II secretion system protein GspE
3190at135614	Complete	cluster_001_consensus	4118632	4120281	+	760.2	443	https://v10-1.orthodb.org/?query=3190at135614	Electron transfer flavoprotein-ubiquinone oxidoreductase
3205at135614	Complete	cluster_001_consensus	3429086	3430828	+	887.6	444	https://v10-1.orthodb.org/?query=3205at135614	Peptide chain release factor 3
3250at135614	Complete	cluster_001_consensus	858478	860433	+	886.1	508	https://v10-1.orthodb.org/?query=3250at135614	Aminopeptidase
3260at135614	Complete	cluster_001_consensus	2296990	2298555	+	901.8	453	https://v10-1.orthodb.org/?query=3260at135614	GMP synthase
3277at135614	Complete	cluster_001_consensus	4362073	4363947	-	954.6	544	https://v10-1.orthodb.org/?query=3277at135614	RNA polymerase sigma-70
3307at135614	Complete	cluster_001_consensus	1753585	1755279	+	886.0	495	https://v10-1.orthodb.org/?query=3307at135614	Asparagine synthase
3328at135614	Complete	cluster_001_consensus	3869630	3872050	+	548.6	484	https://v10-1.orthodb.org/?query=3328at135614	Protein of unknown function DUF1631
3399at135614	Complete	cluster_001_consensus	4463543	4465147	-	965.8	474	https://v10-1.orthodb.org/?query=3399at135614	cytochrome c oxidase subunit I
3403at135614	Complete	cluster_001_consensus	2284500	2286185	+	929.4	477	https://v10-1.orthodb.org/?query=3403at135614	S1 domain
3408at135614	Complete	cluster_001_consensus	4187014	4188873	-	804.0	485	https://v10-1.orthodb.org/?query=3408at135614	Glutamine--fructose-6-phosphate aminotransferase 
3438at135614	Complete	cluster_001_consensus	1098544	1101030	-	777.9	567	https://v10-1.orthodb.org/?query=3438at135614	Organic solvent tolerance-like, N-terminal
3439at135614	Complete	cluster_001_consensus	4395045	4397267	+	972.4	609	https://v10-1.orthodb.org/?query=3439at135614	Primosomal protein N'
3465at135614	Complete	cluster_001_consensus	3679829	3681562	-	880.2	478	https://v10-1.orthodb.org/?query=3465at135614	General secretory system II, protein E, N-terminal
3483at135614	Complete	cluster_001_consensus	4204263	4205810	-	911.5	443	https://v10-1.orthodb.org/?query=3483at135614	ATP synthase subunit alpha
3489at135614	Complete	cluster_001_consensus	228541	229950	+	871.3	423	https://v10-1.orthodb.org/?query=3489at135614	Glutamine synthetase
3492at135614	Complete	cluster_001_consensus	2889428	2891092	-	967.1	484	https://v10-1.orthodb.org/?query=3492at135614	CTP synthase
3525at135614	Complete	cluster_001_consensus	670748	672670	-	919.7	542	https://v10-1.orthodb.org/?query=3525at135614	Major facilitator superfamily
3532at135614	Complete	cluster_001_consensus	2173264	2175129	+	894.5	483	https://v10-1.orthodb.org/?query=3532at135614	DNA mismatch repair protein MutL
3629at135614	Complete	cluster_001_consensus	4110020	4111741	+	825.6	466	https://v10-1.orthodb.org/?query=3629at135614	Proline--tRNA ligase
3696at135614	Complete	cluster_001_consensus	892099	894282	+	944.4	588	https://v10-1.orthodb.org/?query=3696at135614	Tail specific protease
3705at135614	Complete	cluster_001_consensus	3211756	3213681	-	909.7	467	https://v10-1.orthodb.org/?query=3705at135614	ATP-dependent RNA helicase DeaD
3712at135614	Complete	cluster_001_consensus	3916675	3918702	+	1032.4	565	https://v10-1.orthodb.org/?query=3712at135614	K(+)-insensitive pyrophosphate-energized proton pump
3718at135614	Complete	cluster_001_consensus	4496277	4497965	+	793.5	466	https://v10-1.orthodb.org/?query=3718at135614	Arginine--tRNA ligase
3735at135614	Complete	cluster_001_consensus	301249	302859	-	912.0	451	https://v10-1.orthodb.org/?query=3735at135614	Methylcrotonoyl-CoA carboxylase
3758at135614	Complete	cluster_001_consensus	3560513	3562309	+	965.3	525	https://v10-1.orthodb.org/?query=3758at135614	ATP-dependent DNA helicase RecQ
3807at135614	Complete	cluster_001_consensus	1009597	1011465	+	749.7	460	https://v10-1.orthodb.org/?query=3807at135614	Penicillin-binding protein, dimerisation domain
3819at135614	Complete	cluster_001_consensus	678710	680293	-	786.6	440	https://v10-1.orthodb.org/?query=3819at135614	Methylglyoxal synthase-like domain
3870at135614	Complete	cluster_001_consensus	3377034	3378764	+	777.7	485	https://v10-1.orthodb.org/?query=3870at135614	PEP-utilising enzyme, C-terminal
3872at135614	Complete	cluster_001_consensus	3526614	3528650	-	852.2	515	https://v10-1.orthodb.org/?query=3872at135614	Chemotaxis protein
3878at135614	Complete	cluster_001_consensus	1254822	1256288	+	838.2	434	https://v10-1.orthodb.org/?query=3878at135614	Amidophosphoribosyltransferase
3879at135614	Complete	cluster_001_consensus	1789145	1790662	+	938.2	453	https://v10-1.orthodb.org/?query=3879at135614	Fe-S hydro-lyase, tartrate dehydratase beta-type, catalytic domain
3997at135614	Complete	cluster_001_consensus	702092	703732	+	936.4	486	https://v10-1.orthodb.org/?query=3997at135614	GroEL-like apical domain superfamily
4006at135614	Complete	cluster_001_consensus	3355013	3356506	+	765.1	407	https://v10-1.orthodb.org/?query=4006at135614	Peptidase M20
4007at135614	Complete	cluster_001_consensus	3336741	3338198	+	903.3	430	https://v10-1.orthodb.org/?query=4007at135614	SUF system FeS cluster assembly, SufBD
4020at135614	Complete	cluster_001_consensus	2400618	2402474	+	903.4	519	https://v10-1.orthodb.org/?query=4020at135614	excinuclease ABC subunit C
4035at135614	Complete	cluster_001_consensus	4491325	4493670	-	843.0	554	https://v10-1.orthodb.org/?query=4035at135614	Alpha-D-phosphohexomutase, alpha/beta/alpha domain I
4123at135614	Complete	cluster_001_consensus	607986	609461	+	740.2	411	https://v10-1.orthodb.org/?query=4123at135614	anthranilate synthase component I
4141at135614	Complete	cluster_001_consensus	4389224	4391125	-	838.4	511	https://v10-1.orthodb.org/?query=4141at135614	Peptidase S49
4152at135614	Complete	cluster_001_consensus	1045472	1046914	-	813.9	411	https://v10-1.orthodb.org/?query=4152at135614	Adenosylhomocysteinase
4181at135614	Complete	cluster_001_consensus	2295432	2296889	+	827.2	440	https://v10-1.orthodb.org/?query=4181at135614	IMP dehydrogenase
4196at135614	Complete	cluster_001_consensus	3928513	3930390	-	1039.3	501	https://v10-1.orthodb.org/?query=4196at135614	Phosphomethylpyrimidine synthase
4212at135614	Complete	cluster_001_consensus	1870386	1871720	+	782.9	384	https://v10-1.orthodb.org/?query=4212at135614	NADH-ubiquinone oxidoreductase 51kDa subunit, FMN-binding domain
4219at135614	Complete	cluster_001_consensus	4211722	4213554	-	911.3	495	https://v10-1.orthodb.org/?query=4219at135614	Dihydrolipoyl dehydrogenase
4230at135614	Complete	cluster_001_consensus	2191427	2193319	+	935.8	532	https://v10-1.orthodb.org/?query=4230at135614	ABC transporter-like
4371at135614	Complete	cluster_001_consensus	2656639	2658156	-	853.3	433	https://v10-1.orthodb.org/?query=4371at135614	Lysine--tRNA ligase
4381at135614	Complete	cluster_001_consensus	2780839	2782371	+	870.6	437	https://v10-1.orthodb.org/?query=4381at135614	Aldehyde dehydrogenase
4384at135614	Complete	cluster_001_consensus	2163290	2165155	+	612.3	474	https://v10-1.orthodb.org/?query=4384at135614	Sulfatase-modifying factor enzyme
4494at135614	Complete	cluster_001_consensus	3001440	3002834	+	837.2	421	https://v10-1.orthodb.org/?query=4494at135614	Asparagine--tRNA ligase
4506at135614	Complete	cluster_001_consensus	4201758	4203164	-	836.1	409	https://v10-1.orthodb.org/?query=4506at135614	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
4509at135614	Complete	cluster_001_consensus	3091104	3092540	+	770.8	405	https://v10-1.orthodb.org/?query=4509at135614	Dihydrolipoyl dehydrogenase
4542at135614	Complete	cluster_001_consensus	2067233	2069101	+	816.8	508	https://v10-1.orthodb.org/?query=4542at135614	Protein translocase subunit SecD
4590at135614	Complete	cluster_001_consensus	3753034	3754896	+	897.2	527	https://v10-1.orthodb.org/?query=4590at135614	Regulator of K+ conductance, C-terminal
4639at135614	Complete	cluster_001_consensus	2849517	2850914	+	730.6	377	https://v10-1.orthodb.org/?query=4639at135614	PIN domain
4667at135614	Complete	cluster_001_consensus	692013	693380	-	810.8	398	https://v10-1.orthodb.org/?query=4667at135614	Acetyl-CoA carboxylase
4668at135614	Complete	cluster_001_consensus	970637	972001	+	751.0	399	https://v10-1.orthodb.org/?query=4668at135614	Glutamate--cysteine ligase
4686at135614	Complete	cluster_001_consensus	3163628	3165073	-	849.5	433	https://v10-1.orthodb.org/?query=4686at135614	Metalloprotease TldD/PmbA
4698at135614	Complete	cluster_001_consensus	3161475	3162842	-	728.4	408	https://v10-1.orthodb.org/?query=4698at135614	Metalloprotease TldD/PmbA
4798at135614	Complete	cluster_001_consensus	289714	291009	+	754.9	376	https://v10-1.orthodb.org/?query=4798at135614	Isocitrate lyase
4799at135614	Complete	cluster_001_consensus	1831974	1833344	+	761.4	387	https://v10-1.orthodb.org/?query=4799at135614	Methylthiotransferase
4831at135614	Complete	cluster_001_consensus	2663374	2665113	-	637.8	442	https://v10-1.orthodb.org/?query=4831at135614	Single-stranded-DNA-specific exonuclease RecJ
4850at135614	Complete	cluster_001_consensus	696511	698835	-	673.6	531	https://v10-1.orthodb.org/?query=4850at135614	Thiol:disulfide interchange protein DsbD, N-terminal domain
4878at135614	Complete	cluster_001_consensus	1807110	1808540	+	738.1	398	https://v10-1.orthodb.org/?query=4878at135614	DNA helicase, DnaB-like, N-terminal
4898at135614	Complete	cluster_001_consensus	298979	301006	-	848.3	515	https://v10-1.orthodb.org/?query=4898at135614	Single hybrid motif
4983at135614	Complete	cluster_001_consensus	1211272	1212639	+	666.3	369	https://v10-1.orthodb.org/?query=4983at135614	Protein translocase subunit SecY
4990at135614	Complete	cluster_001_consensus	1868551	1869858	+	822.5	387	https://v10-1.orthodb.org/?query=4990at135614	NADH-quinone oxidoreductase subunit D
5011at135614	Complete	cluster_001_consensus	2062084	2063580	-	798.2	424	https://v10-1.orthodb.org/?query=5011at135614	Pyridoxal phosphate-dependent transferase
5029at135614	Complete	cluster_001_consensus	3421503	3422885	+	766.6	397	https://v10-1.orthodb.org/?query=5029at135614	Serine dehydratase
5039at135614	Complete	cluster_001_consensus	1278897	1280183	+	776.7	371	https://v10-1.orthodb.org/?query=5039at135614	Zinc finger, ClpX C4-type
5042at135614	Complete	cluster_001_consensus	3082038	3083405	+	781.0	405	https://v10-1.orthodb.org/?query=5042at135614	Adenylosuccinate lyase
5124at135614	Complete	cluster_001_consensus	3448503	3449882	+	560.0	317	https://v10-1.orthodb.org/?query=5124at135614	Beta-lactamase
5155at135614	Complete	cluster_001_consensus	4123032	4123763	-	467.3	234	https://v10-1.orthodb.org/?query=5155at135614	Succinyl-CoA
5165at135614	Complete	cluster_001_consensus	3748982	3750799	-	463.3	402	https://v10-1.orthodb.org/?query=5165at135614	Autotransporter beta-domain
5205at135614	Complete	cluster_001_consensus	3095789	3097558	+	896.6	520	https://v10-1.orthodb.org/?query=5205at135614	ABC transporter type 1, transmembrane domain
5210at135614	Complete	cluster_001_consensus	1216882	1218273	+	845.8	408	https://v10-1.orthodb.org/?query=5210at135614	3-deoxy-7-phosphoheptulonate synthase
5243at135614	Complete	cluster_001_consensus	1882787	1884298	+	851.6	443	https://v10-1.orthodb.org/?query=5243at135614	Transcription termination/antitermination protein NusA
5244at135614	Complete	cluster_001_consensus	2807136	2808650	-	634.0	405	https://v10-1.orthodb.org/?query=5244at135614	Glucose-6-phosphate isomerase
5250at135614	Complete	cluster_001_consensus	3676393	3678006	+	675.6	444	https://v10-1.orthodb.org/?query=5250at135614	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain
5289at135614	Complete	cluster_001_consensus	3856377	3857666	-	694.0	348	https://v10-1.orthodb.org/?query=5289at135614	Citrate synthase
5296at135614	Complete	cluster_001_consensus	2289132	2291039	+	881.5	510	https://v10-1.orthodb.org/?query=5296at135614	Multidrug MFS transporter
5334at135614	Complete	cluster_001_consensus	2484449	2485825	-	683.6	365	https://v10-1.orthodb.org/?query=5334at135614	AAA C-terminal domain
5346at135614	Complete	cluster_001_consensus	4042507	4043760	-	726.5	362	https://v10-1.orthodb.org/?query=5346at135614	Serine hydroxymethyltransferase
5378at135614	Complete	cluster_001_consensus	2187591	2189147	+	699.3	416	https://v10-1.orthodb.org/?query=5378at135614	Protein adenylyltransferase SelO
5394at135614	Complete	cluster_001_consensus	37052	38533	-	686.5	404	https://v10-1.orthodb.org/?query=5394at135614	FAD/NAD(P)-binding domain
5459at135614	Complete	cluster_001_consensus	3672025	3673665	-	702.2	438	https://v10-1.orthodb.org/?query=5459at135614	NAD+ synthase
5467at135614	Complete	cluster_001_consensus	2142029	2143483	-	750.3	385	https://v10-1.orthodb.org/?query=5467at135614	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
5486at135614	Complete	cluster_001_consensus	586105	587418	+	703.4	364	https://v10-1.orthodb.org/?query=5486at135614	Homogentisate 1,2-dioxygenase
5495at135614	Complete	cluster_001_consensus	218326	220344	+	798.5	522	https://v10-1.orthodb.org/?query=5495at135614	Cardiolipin synthase
