#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
cluster_001_consensus	3703071	3703304	-	FAFAHP_15965	8.5	6.5		
cluster_001_consensus	3763209	3763976	+	FAFAHP_16225	28.7	12.0		
cluster_001_consensus	3764880	3766730	+	FAFAHP_16230	67.6	10.8		
cluster_001_consensus	3949033	3949248	+	FAFAHP_16980	7.5	10.1		RefSeq:WP_223571100.1, SO:0001217, UniParc:UPI001CBB8A02, UniRef:UniRef100_W4S7A8, UniRef:UniRef50_W4S7A8, UniRef:UniRef90_W4S7A8
cluster_001_consensus	4005116	4006753	-	FAFAHP_17180	56.9	4.1	PF00353.22|HemolysinCabind, PF06594.14|HCBP_related	PFAM:PF00353.22, PFAM:PF06594.14
cluster_001_consensus	4252694	4252786	-	FAFAHP_18270	3.3	6.5		SO:0001217, UniParc:UPI00035CC8B1, UniRef:UniRef100_W4SGJ5, UniRef:UniRef50_W4SGJ5, UniRef:UniRef90_W4SGJ5
cluster_001_consensus	4325382	4325582	+	FAFAHP_18615	7.3	7.9		
cluster_001_consensus	4328403	4328663	-	FAFAHP_18635	9.8	9.2	PF17289.5|Terminase_6C	PFAM:PF17289.5
cluster_001_consensus	4520979	4521758	-	FAFAHP_19585	28.0	6.6		
cluster_001_consensus	4586736	4586882	-	FAFAHP_19885	5.0	10.6		SO:0001217, UniRef:UniRef50_A0A2N9DE12, UniRef:UniRef90_A0A2N9DE12
cluster_001_consensus	4685414	4687855	+	FAFAHP_20325	90.9	6.0	PF01266.27|DAO, PF13450.9|NAD_binding_8	PFAM:PF01266.27, PFAM:PF13450.9
cluster_001_consensus	4804787	4804885	+	FAFAHP_20800	3.3	11.5		
cluster_001_consensus	4878205	4878489	-	FAFAHP_21085	9.7	6.7		
cluster_002_consensus	30331	30954	-	FAFAHP_21705	22.8	5.9		
cluster_002_consensus	104598	104876	+	FAFAHP_22075	10.7	4.1		
cluster_002_consensus	155835	155942	+	FAFAHP_22290	3.9	7.9		
cluster_002_consensus	177198	177737	-	FAFAHP_22395	18.7	5.8	PF19335.2|HMBD	PFAM:PF19335.2
cluster_002_consensus	185293	185640	-	FAFAHP_22455	13.2	4.9		RefSeq:WP_046932387.1, SO:0001217, UniParc:UPI00062D6DF4, UniRef:UniRef100_A0A8F9R0J0, UniRef:UniRef50_A0A098PTK9, UniRef:UniRef90_A0A098PTK9
cluster_002_consensus	185661	187547	-	FAFAHP_22460	70.7	8.7		SO:0001217, UniRef:UniRef50_UPI000D3A8DD3, UniRef:UniRef90_UPI00099655CF
cluster_002_consensus	190815	191354	+	FAFAHP_22480	18.7	5.8	PF19335.2|HMBD	PFAM:PF19335.2
cluster_002_consensus	212614	212721	-	FAFAHP_22590	3.9	7.9		
