Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
cluster_001_consensus	cds	11491	12252	+	FAFAHP_00045	exbB	TonB-system energizer ExbB	BlastRules:WP_011035267, COG:COG0811, COG:U, GO:0005886, GO:0017038, RefSeq:WP_005912445.1, SO:0001217, UniParc:UPI00000D7913, UniRef:UniRef100_A0A2S6Y6H3, UniRef:UniRef50_B0RLE6, UniRef:UniRef90_B0RLE6
cluster_001_consensus	cds	12298	12723	+	FAFAHP_00050	exbD	Biopolymer transport protein ExbD	COG:COG0848, COG:U, RefSeq:WP_039514729.1, SO:0001217, UniParc:UPI00039FECE7, UniRef:UniRef100_W4SIT1, UniRef:UniRef50_B0RLE7, UniRef:UniRef90_W4SIT1
cluster_001_consensus	cds	12760	13137	+	FAFAHP_00055	exbD2	Biopolymer transport protein exbD2	COG:COG0848, COG:U, GO:0005886, GO:0015031, GO:0022857, SO:0001217, UniParc:UPI00021AEF65, UniRef:UniRef100_B0RLE8, UniRef:UniRef50_B0RLE8, UniRef:UniRef90_B0RLE8
cluster_001_consensus	cds	13492	13899	+	FAFAHP_00060	exbD	Biopolymer transporter ExbD	RefSeq:WP_039514725.1, SO:0001217, UniParc:UPI0003A67334, UniRef:UniRef100_W4SK09, UniRef:UniRef50_B0RLE8, UniRef:UniRef90_W4SK09
cluster_001_consensus	cds	14027	14794	-	FAFAHP_00065	pdxJ	pyridoxine 5'-phosphate synthase	RefSeq:WP_039514723.1, SO:0001217, UniParc:UPI0003E06AFB, UniRef:UniRef100_W4SJD3, UniRef:UniRef50_Q9PH84, UniRef:UniRef90_V7ZJN4
cluster_001_consensus	cds	14805	15074	-	FAFAHP_00070		DUF4229 domain-containing protein	RefSeq:WP_024939143.1, SO:0001217, UniParc:UPI0003E064A6, UniRef:UniRef100_W4SIZ9, UniRef:UniRef50_Q8PRF0, UniRef:UniRef90_V7ZIP4
cluster_001_consensus	cds	15149	16609	-	FAFAHP_00075	cls	cardiolipin synthase	COG:COG1502, COG:I, RefSeq:WP_016901831.1, SO:0001217, UniParc:UPI0002D2DD74, UniRef:UniRef100_W4SIS7, UniRef:UniRef50_A0A1V5G2X3, UniRef:UniRef90_B0RLF3
cluster_001_consensus	cds	16745	17839	+	FAFAHP_00080	splB	DNA repair photolyase	COG:COG1533, COG:L, RefSeq:WP_039514720.1, SO:0001217, UniParc:UPI0003E0760A, UniRef:UniRef100_W4SKJ3, UniRef:UniRef50_W6R2B1, UniRef:UniRef90_A0A8D6XWR7
cluster_001_consensus	cds	17936	18649	-	FAFAHP_00085		2OG-FeII-Oxy-3 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A087MH12, UniRef:UniRef90_W4SK04
cluster_001_consensus	cds	18758	20098	-	FAFAHP_00090	fadL	Long-chain fatty acid transport protein	COG:COG2067, COG:I, RefSeq:WP_026064111.1, SO:0001217, UniParc:UPI0003101A69, UniRef:UniRef100_W4SJC9, UniRef:UniRef50_A0A126NM69, UniRef:UniRef90_A0A1C3NKC1
cluster_001_consensus	cds	20313	21005	+	FAFAHP_00095	glpG	Membrane-associated serine protease, rhomboid family	COG:COG0705, COG:O, RefSeq:WP_003482177.1, SO:0001217, UniParc:UPI00000D791D, UniRef:UniRef100_A0A6B3KMZ1, UniRef:UniRef50_Q5GTY6, UniRef:UniRef90_Q5GTY6
cluster_001_consensus	cds	21097	21417	+	FAFAHP_00100		DUF1820 domain-containing protein	COG:COG4517, COG:S, RefSeq:WP_016901574.1, SO:0001217, UniParc:UPI00037E9D2B, UniRef:UniRef100_W4SIS3, UniRef:UniRef50_A0A167GF77, UniRef:UniRef90_A0A1Y6H1B6
cluster_001_consensus	cds	21417	22403	+	FAFAHP_00105		D-2-hydroxyacid dehydrogenase family protein	RefSeq:WP_039514717.1, SO:0001217, UniParc:UPI0003E06AA4, UniRef:UniRef100_W4SKI9, UniRef:UniRef50_A0A379L0L8, UniRef:UniRef90_A0A6V7BVZ9
cluster_001_consensus	cds	22608	24116	-	FAFAHP_00110		Peptidase S41A, C-terminal protease	RefSeq:WP_043088162.1, SO:0001217, UniParc:UPI0004613936, UniRef:UniRef100_A0A5P3KL34, UniRef:UniRef50_A0A2H1SY18, UniRef:UniRef90_A0A2H1SY18
cluster_001_consensus	cds	24259	25557	-	FAFAHP_00115	envC	Septal ring factor EnvC, activator of murein hydrolases AmiA and AmiB	COG:COG4942, COG:D, RefSeq:WP_039514712.1, SO:0001217, UniParc:UPI0003E079B1, UniRef:UniRef100_W4S735, UniRef:UniRef50_A0A1C3NKB2, UniRef:UniRef90_A0A1C3NKB2
cluster_001_consensus	cds	25655	26311	+	FAFAHP_00120		Polymer-forming cytoskeletal protein	RefSeq:WP_039514710.1, SO:0001217, UniParc:UPI0003A0208E, UniRef:UniRef100_A0A5P3KLG9, UniRef:UniRef50_A0A518N3U9, UniRef:UniRef90_A0A2N9D3L0
cluster_001_consensus	cds	26372	28168	+	FAFAHP_00125	iap	Zn-dependent amino- or carboxypeptidase, M28 family	COG:COG2234, COG:OE, RefSeq:WP_039514707.1, SO:0001217, UniParc:UPI0003E06A9B, UniRef:UniRef100_W4SBQ8, UniRef:UniRef50_Q5GTY0, UniRef:UniRef90_Q5GTY0
cluster_001_consensus	cds	28530	28979	-	FAFAHP_00130		PepSY domain-containing protein	RefSeq:WP_039514705.1, SO:0001217, UniParc:UPI0003A8EEAF, UniRef:UniRef100_W4S9W7, UniRef:UniRef50_W4S9W7, UniRef:UniRef90_W4S9W7
cluster_001_consensus	cds	29308	30369	-	FAFAHP_00135		Cellulase domain-containing protein	RefSeq:WP_039514702.1, SO:0001217, UniParc:UPI0003E083C1, UniRef:UniRef100_W4SA37, UniRef:UniRef50_W4SA37, UniRef:UniRef90_W4SA37
cluster_001_consensus	cds	30883	31944	-	FAFAHP_00140		Endoglucanase	SO:0001217, UniParc:UPI0003E071F9, UniRef:UniRef100_W4SB22, UniRef:UniRef50_B0RLG7, UniRef:UniRef90_A0A7W9ECU7
cluster_001_consensus	cds	32002	32769	+	FAFAHP_00145		hypothetical protein	
cluster_001_consensus	cds	32687	33760	-	FAFAHP_00150		Cellulase domain-containing protein	RefSeq:WP_039514698.1, SO:0001217, UniParc:UPI0003E073DA, UniRef:UniRef100_W4SBR3, UniRef:UniRef50_B0RLG7, UniRef:UniRef90_W4SBR3
cluster_001_consensus	cds	34070	35128	+	FAFAHP_00155	adhP	D-arabinose 1-dehydrogenase, Zn-dependent alcohol dehydrogenase family	COG:COG1064, COG:G, EC:1.1.1.2, KEGG:K13979, RefSeq:WP_039514696.1, SO:0001217, UniParc:UPI0003A2F9BE, UniRef:UniRef100_W4S9X2, UniRef:UniRef50_A0A085AK01, UniRef:UniRef90_W4S9X2
cluster_001_consensus	cds	35321	36406	-	FAFAHP_00160		Acyl-transf-3 domain-containing protein	RefSeq:WP_039514694.1, SO:0001217, UniParc:UPI00039B0330, UniRef:UniRef100_W4SA44, UniRef:UniRef50_A0A0Q5FZQ4, UniRef:UniRef90_W4SA44
cluster_001_consensus	cds	37052	38533	-	FAFAHP_00165	gltD	NADPH-dependent glutamate synthase beta chain or related oxidoreductase	COG:COG0493, COG:ER, RefSeq:WP_039514691.1, SO:0001217, UniParc:UPI0003A48459, UniRef:UniRef100_W4SAF3, UniRef:UniRef50_A0A7W5NU16, UniRef:UniRef90_A0A7W7P9R6
cluster_001_consensus	cds	38652	43124	-	FAFAHP_00170	gltB	glutamate synthase large subunit	COG:COG0070, COG:E, RefSeq:WP_039514688.1, SO:0001217, UniParc:UPI0003E06E05, UniRef:UniRef100_W4SB29, UniRef:UniRef50_E1V8I1, UniRef:UniRef90_A0A0A6TW87
cluster_001_consensus	cds	43327	43707	-	FAFAHP_00175		Peptidase inhibitor I78 family protein	RefSeq:WP_039514687.1, SO:0001217, UniParc:UPI0003A43B47, UniRef:UniRef100_W4SBS2, UniRef:UniRef50_A0A0Q9ZXT6, UniRef:UniRef90_V7ZIR8
cluster_001_consensus	cds	43855	45066	+	FAFAHP_00180	top1	DNA topoisomerase IB	COG:COG3569, COG:L, RefSeq:WP_039514683.1, SO:0001217, UniParc:UPI0003E06FB3, UniRef:UniRef100_W4S9X9, UniRef:UniRef50_V7ZIK5, UniRef:UniRef90_A0A0Q5IMH0
cluster_001_consensus	cds	45069	45647	-	FAFAHP_00185		Methyltransf-25 domain-containing protein	RefSeq:WP_039514680.1, SO:0001217, UniParc:UPI0003E06C42, UniRef:UniRef100_W4SA50, UniRef:UniRef50_W4SA50, UniRef:UniRef90_W4SA50
cluster_001_consensus	cds	46172	46321	+	FAFAHP_00190		Transposase	SO:0001217, UniParc:UPI000B2A513F, UniRef:UniRef100_A0A8D6XWA1, UniRef:UniRef50_A0A7U7D4Y5, UniRef:UniRef90_A0A7U7D4Y5
cluster_001_consensus	cds	46562	46906	-	FAFAHP_00195		Lipoprotein	RefSeq:WP_043087416.1, SO:0001217, UniParc:UPI0003E07E8E, UniRef:UniRef100_W4SAF8, UniRef:UniRef50_A0A0U5F789, UniRef:UniRef90_A0A3E1KEU0
cluster_001_consensus	cds	47183	47404	-	FAFAHP_00200		Transcriptional regulator	RefSeq:WP_026064120.1, SO:0001217, UniParc:UPI0002DFBCBE, UniRef:UniRef100_A0A2N7V9R1, UniRef:UniRef50_A0A0E3YPU0, UniRef:UniRef90_A0A0E3YPU0
cluster_001_consensus	cds	47401	56061	-	FAFAHP_00205		Cyclic beta 1-2 glucan synthetase	SO:0001217, UniParc:UPI00084E46EE, UniRef:UniRef100_A0A5P3KL91, UniRef:UniRef50_A0A0E3UM98, UniRef:UniRef90_W4SBS7
cluster_001_consensus	cds	56710	57096	+	FAFAHP_00210	copY	Transcriptional regulator, CopY/TcrY family	COG:COG3682, COG:K, SO:0001217, UniParc:UPI000301752A, UniRef:UniRef100_W4SA57, UniRef:UniRef50_A0A0G8MFG6, UniRef:UniRef90_A0A0G8MFG6
cluster_001_consensus	cds	57099	58943	+	FAFAHP_00215		Peptidase-M56 domain-containing protein	RefSeq:WP_039514677.1, SO:0001217, UniParc:UPI0003E07368, UniRef:UniRef100_W4SAG3, UniRef:UniRef50_W4SAG3, UniRef:UniRef90_W4SAG3
cluster_001_consensus	cds	59208	60284	+	FAFAHP_00220	lys9	Saccharopine dehydrogenase, NADP-dependent	COG:COG1748, COG:E, SO:0001217, UniParc:UPI0003E084D3, UniRef:UniRef100_W4SB39, UniRef:UniRef50_A0A2S7BXW6, UniRef:UniRef90_A0A0H2X3P5
cluster_001_consensus	cds	60504	61292	-	FAFAHP_00225		2H-phosphodiest domain-containing protein	COG:COG5255, COG:S, RefSeq:WP_039514674.1, SO:0001217, UniParc:UPI0003E0697D, UniRef:UniRef100_W4SBT3, UniRef:UniRef50_V7ZKB6, UniRef:UniRef90_A0A0H2X2J6
cluster_001_consensus	cds	61303	63966	-	FAFAHP_00230	fepA	Outer membrane receptor for ferrienterochelin and colicins	COG:COG4771, COG:P, SO:0001217, UniParc:UPI0003E0603D, UniRef:UniRef100_W4S9Z3, UniRef:UniRef50_A0A3T0FSX6, UniRef:UniRef90_W4S9Z3
cluster_001_consensus	cds	64072	65229	+	FAFAHP_00235	nagC	Sugar kinase of the NBD/HSP70 family, may contain an N-terminal HTH domain	COG:COG1940, COG:GK, RefSeq:WP_016901601.1, SO:0001217, UniParc:UPI0003076B5B, UniRef:UniRef100_A0A2N7V9L8, UniRef:UniRef50_A0A6V7B7S6, UniRef:UniRef90_A0A6V7B7S6
cluster_001_consensus	cds	65372	67528	+	FAFAHP_00240	avrBs2	type III secretion system effector avirulence protein AvrBs2	COG:COG0584, COG:I, RefSeq:WP_043087412.1, SO:0001217, UniParc:UPI0003E0717D, UniRef:UniRef100_W4SAG9, UniRef:UniRef50_G7TIV7, UniRef:UniRef90_B0RLQ9
cluster_001_consensus	cds	67713	69221	-	FAFAHP_00245	yprB	putative conserved protein YprB, contains RNaseH-like and TPR domains	COG:COG3359, COG:R, RefSeq:WP_043087410.1, SO:0001217, UniParc:UPI000461A95F, UniRef:UniRef100_A0A5P3KLE8, UniRef:UniRef50_G7TIV9, UniRef:UniRef90_A0A7W9AE21
cluster_001_consensus	cds	69218	71713	-	FAFAHP_00250	yprA	DUF1998 domain-containing protein	COG:COG1205, COG:L, KEGG:K06877, RefSeq:WP_043087409.1, SO:0001217, UniParc:UPI0003E07CF8, UniRef:UniRef100_W4SM81, UniRef:UniRef50_A0A0U5I9L0, UniRef:UniRef90_A0A6V7BUG8
cluster_001_consensus	cds	71887	72549	+	FAFAHP_00255		Hemolysin III family protein	RefSeq:WP_039511099.1, SO:0001217, UniParc:UPI0003E06E56, UniRef:UniRef100_A0A0E3UFT8, UniRef:UniRef50_A0A6V7BGZ8, UniRef:UniRef90_A0A6V7BGZ8
cluster_001_consensus	cds	72605	72862	+	FAFAHP_00260	stbD	Antitoxin component YafN of the YafNO toxin-antitoxin module, PHD/YefM family	COG:COG2161, COG:V, RefSeq:WP_016902922.1, SO:0001217, UniParc:UPI00030EA526, UniRef:UniRef100_A0A2S7AJ12, UniRef:UniRef50_A0A1B9Q0T1, UniRef:UniRef90_A0A7Z7NGZ9
cluster_001_consensus	cds	72850	73149	+	FAFAHP_00265		Plasmid stabilization protein	RefSeq:WP_016902923.1, SO:0001217, UniParc:UPI00037FD6C6, UniRef:UniRef100_A0A2N7V9Q0, UniRef:UniRef50_A0A0K2ZKU3, UniRef:UniRef90_W4SNB4
cluster_001_consensus	cds	73268	73789	-	FAFAHP_00270		Lipoprotein	RefSeq:WP_051633992.1, SO:0001217, UniParc:UPI0003E0693A, UniRef:UniRef100_W4SP01, UniRef:UniRef50_A0A2S6YMY3, UniRef:UniRef90_A0A2S6YMY3
cluster_001_consensus	cds	73960	74313	-	FAFAHP_00275		HTH hxlR-type domain-containing protein	RefSeq:WP_081327586.1, SO:0001217, UniParc:UPI0003E077B5, UniRef:UniRef100_W4SM86, UniRef:UniRef50_W4SM86, UniRef:UniRef90_W4SM86
cluster_001_consensus	cds	74346	74552	+	FAFAHP_00280		YCII domain-containing protein	RefSeq:WP_223571151.1, SO:0001217, UniParc:UPI0003E0699D, UniRef:UniRef100_W4SME3, UniRef:UniRef50_W4SME3, UniRef:UniRef90_W4SME3
cluster_001_consensus	cds	74712	75815	-	FAFAHP_00285		TupA-like ATPgrasp	SO:0001217, UniParc:UPI0003E0665B, UniRef:UniRef100_W4SMV8, UniRef:UniRef50_V7ZKD3, UniRef:UniRef90_A0A0E3UH73
cluster_001_consensus	cds	76261	76974	+	FAFAHP_00290		Sel1 repeat family protein	RefSeq:WP_039511101.1, SO:0001217, UniParc:UPI0003E07F37, UniRef:UniRef100_W4SNC1, UniRef:UniRef50_A0A0G8VDE1, UniRef:UniRef90_A0A0E3UFK7
cluster_001_consensus	cds	76985	77878	-	FAFAHP_00295		HTH lysR-type domain-containing protein	RefSeq:WP_104544175.1, SO:0001217, UniParc:UPI000CEEAECB, UniRef:UniRef100_A0A7W9ADM8, UniRef:UniRef50_A0A3M3E651, UniRef:UniRef90_W4SP05
cluster_001_consensus	cds	78019	78771	+	FAFAHP_00300		SDR family oxidoreductase	RefSeq:WP_043087407.1, SO:0001217, UniParc:UPI0003E05F9F, UniRef:UniRef100_W4SM93, UniRef:UniRef50_A0A5M9IHY5, UniRef:UniRef90_W4SM93
cluster_001_consensus	cds	78910	79386	+	FAFAHP_00305		DUF3617 domain-containing protein	RefSeq:WP_223571152.1, SO:0001217, UniParc:UPI00046120D5, UniRef:UniRef100_UPI00046120D5, UniRef:UniRef50_W4SME9, UniRef:UniRef90_W4SME9
cluster_001_consensus	cds	79531	79857	-	FAFAHP_00310		SnoaL-like domain-containing protein	RefSeq:WP_039511103.1, SO:0001217, UniParc:UPI0003E0817D, UniRef:UniRef100_W4SMW2, UniRef:UniRef50_A0A0E3YUT1, UniRef:UniRef90_A0A0E3YUT1
cluster_001_consensus	cds	79946	80260	+	FAFAHP_00315	hxlR	DNA-binding transcriptional regulator, HxlR family	COG:COG1733, COG:K, RefSeq:WP_039511105.1, SO:0001217, UniParc:UPI0003E07C5B, UniRef:UniRef100_W4SNC7, UniRef:UniRef50_A0A0Q8MIW5, UniRef:UniRef90_W4SNC7
cluster_001_consensus	cds	80424	82319	-	FAFAHP_00320		DUF262 domain-containing protein	RefSeq:WP_016902934.1, SO:0001217, UniParc:UPI0003140510, UniRef:UniRef100_W4SP08, UniRef:UniRef50_W4SP08, UniRef:UniRef90_W4SP08
cluster_001_consensus	cds	82451	82897	-	FAFAHP_00325		Secreted protein	RefSeq:WP_016902935.1, SO:0001217, UniParc:UPI0002EA38B4, UniRef:UniRef100_W4SM97, UniRef:UniRef50_A0A7W5NS89, UniRef:UniRef90_W4SM97
cluster_001_consensus	cds	83029	83250	-	FAFAHP_00330		CZB domain-containing protein	RefSeq:WP_039511107.1, SO:0001217, UniParc:UPI0003E0719B, UniRef:UniRef100_A0A5P3KL71, UniRef:UniRef50_A0A0E3YRV8, UniRef:UniRef90_A0A2S7AZH8
cluster_001_consensus	ncRNA	83292	83374	-	FAFAHP_00335	sRNA-Xcc1	sRNA-Xcc1	RFAM:RF02221, SO:0000655
cluster_001_consensus	ncRNA	83735	83819	+	FAFAHP_00340	sRNA-Xcc1	sRNA-Xcc1	RFAM:RF02221, SO:0000655
cluster_001_consensus	cds	83861	84214	+	FAFAHP_00345		SymE-toxin domain-containing protein	RefSeq:WP_039511120.1, SO:0001217, UniParc:UPI0003E083CA, UniRef:UniRef100_A0A5P3KL48, UniRef:UniRef50_A0A0E3UH75, UniRef:UniRef90_A0A0E3UH75
cluster_001_consensus	cds	84272	85012	+	FAFAHP_00350		RNA polymerase sigma factor	SO:0001217, UniParc:UPI0003E069F7, UniRef:UniRef100_W4RYV6, UniRef:UniRef50_W4RYV6, UniRef:UniRef90_W4RYV6
cluster_001_consensus	cds	85282	85473	-	FAFAHP_00355	csbD	CsbD domain-containing protein	RefSeq:WP_202397539.1, SO:0001217, UniParc:UPI000AB11422, UniRef:UniRef100_A0A8D6UF70, UniRef:UniRef50_Q8PEB1, UniRef:UniRef90_A0A8D6UF70
cluster_001_consensus	cds	85664	87919	+	FAFAHP_00360		histidine kinase	RefSeq:WP_081327656.1, SO:0001217, UniParc:UPI0003E06D68, UniRef:UniRef100_W4RXW4, UniRef:UniRef50_A0A1H8VHG4, UniRef:UniRef90_A0A2S7CA68
cluster_001_consensus	cds	87891	89141	-	FAFAHP_00365		HDOD domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1C3NKF8, UniRef:UniRef90_A0A8D6XWG9
cluster_001_consensus	cds	89358	89633	+	FAFAHP_00370		hypothetical protein	
cluster_001_consensus	ncRNA	89365	89469	+	FAFAHP_00375	sX2	Xanthomonas sRNA sX2	RFAM:RF02222, SO:0000655
cluster_001_consensus	cds	89531	89842	-	FAFAHP_00380	tilS	TilS domain-containing protein	RefSeq:WP_026064425.1, SO:0001217, UniParc:UPI0003E067CB, UniRef:UniRef100_A0A2S7BHH0, UniRef:UniRef50_Q5H6W9, UniRef:UniRef90_V7ZJ41
cluster_001_consensus	cds	89839	90909	-	FAFAHP_00385		Neutral metalloproteinase	RefSeq:WP_039514899.1, SO:0001217, UniParc:UPI0003E083F8, UniRef:UniRef100_W4SM80, UniRef:UniRef50_A0A0U5FF09, UniRef:UniRef90_A0A0E3YQ48
cluster_001_consensus	cds	91020	91676	-	FAFAHP_00390		NAD(P)-bd-dom domain-containing protein	RefSeq:WP_039514895.1, SO:0001217, UniParc:UPI0003E0851A, UniRef:UniRef100_W4SNT6, UniRef:UniRef50_M2YDL0, UniRef:UniRef90_W4SNT6
cluster_001_consensus	cds	92005	92457	+	FAFAHP_00395		MutT-nudix family protein	SO:0001217, UniParc:UPI0003E08317, UniRef:UniRef100_A0A5P3KPJ3, UniRef:UniRef50_B0RLP7, UniRef:UniRef90_A0A2N9D3D4
cluster_001_consensus	cds	92741	93877	+	FAFAHP_00400		Acetyl esterase	RefSeq:WP_224096702.1, SO:0001217, UniParc:UPI001CC76BAA, UniRef:UniRef100_UPI001CC76BAA, UniRef:UniRef50_B0RLP9, UniRef:UniRef90_A0A2N9D3C8
cluster_001_consensus	cds	93978	94376	+	FAFAHP_00405		Protein required for attachment to host cells	COG:COG5622, COG:M, RefSeq:WP_016902952.1, SO:0001217, UniParc:UPI000309EDD9, UniRef:UniRef100_A0A0E3YQ90, UniRef:UniRef50_A0A7V8FIU3, UniRef:UniRef90_D4T2K3
cluster_001_consensus	cds	94398	94733	+	FAFAHP_00410		Thioredoxin	RefSeq:WP_039515739.1, SO:0001217, UniParc:UPI0003A62ED0, UniRef:UniRef100_A0A381LWA9, UniRef:UniRef50_H8FI41, UniRef:UniRef90_A0A0E3YSR3
cluster_001_consensus	cds	95090	96580	+	FAFAHP_00415	proP	glycine betaine/L-proline transporter ProP	KEGG:K03762, RefSeq:WP_039515735.1, SO:0001217, UniParc:UPI00046112A6, UniRef:UniRef100_W4S9I9, UniRef:UniRef50_A2W4W9, UniRef:UniRef90_W4SNT1
cluster_001_consensus	cds	96708	97181	-	FAFAHP_00420		ATPase	RefSeq:WP_043087861.1, SO:0001217, UniParc:UPI0003E0616F, UniRef:UniRef100_W4SN45, UniRef:UniRef50_A0A0K0GFF1, UniRef:UniRef90_W4SN45
cluster_001_consensus	cds	97330	98148	+	FAFAHP_00425	ecsC	EcsC family protein	SO:0001217, UniParc:UPI0003E061D5, UniRef:UniRef100_W4SMN3, UniRef:UniRef50_A0A091BBY4, UniRef:UniRef90_A0A7W9JT48
cluster_001_consensus	cds	98350	98994	+	FAFAHP_00430		DUF938 domain-containing protein	RefSeq:WP_039515731.1, SO:0001217, UniParc:UPI0003E073FD, UniRef:UniRef100_W4SM69, UniRef:UniRef50_A0A1C3NKD8, UniRef:UniRef90_A0A855NHN9
cluster_001_consensus	cds	99119	100867	-	FAFAHP_00435		Carboxypeptidase regulatory-like domain-containing protein	RefSeq:WP_224096701.1, SO:0001217, UniParc:UPI001CC37DCB, UniRef:UniRef100_UPI001CC37DCB, UniRef:UniRef50_Q8PR52, UniRef:UniRef90_A0A7W9AD03
cluster_001_consensus	cds	100971	101591	-	FAFAHP_00440		Tetratricopeptide repeat protein	SO:0001217, UniRef:UniRef50_A0A8D6UH02, UniRef:UniRef90_A0A8D6UH02
cluster_001_consensus	cds	101874	102788	-	FAFAHP_00445	nmrA	NmrA domain-containing protein	RefSeq:WP_043087863.1, SO:0001217, UniParc:UPI00046113CB, UniRef:UniRef100_A0A5P3KM24, UniRef:UniRef50_A0A0D5M7E8, UniRef:UniRef90_W4SD15
cluster_001_consensus	cds	102967	103608	+	FAFAHP_00450		HTH tetR-type domain-containing protein	RefSeq:WP_039509939.1, SO:0001217, UniParc:UPI0003E075DD, UniRef:UniRef100_W4SDW6, UniRef:UniRef50_A0A3M5WSB0, UniRef:UniRef90_W4SDW6
cluster_001_consensus	cds	103758	104012	-	FAFAHP_00455		DUF2164 domain-containing protein	RefSeq:WP_039509942.1, SO:0001217, UniParc:UPI00039AEA01, UniRef:UniRef100_W4SBW8, UniRef:UniRef50_W4SBW8, UniRef:UniRef90_W4SBW8
cluster_001_consensus	cds	104598	105089	-	FAFAHP_00460	luxR	LuxR family transcriptional regulator	SO:0001217, UniParc:UPI0003E060B5, UniRef:UniRef100_W4SCI4, UniRef:UniRef50_W4SCI4, UniRef:UniRef90_A0A7W9ACJ6
cluster_001_consensus	cds	105378	106394	-	FAFAHP_00465	fbp	class 1 fructose-bisphosphatase	COG:COG0158, COG:G, EC:3.1.3.11, GO:0000287, GO:0005737, GO:0006094, GO:0042132, RefSeq:WP_016903904.1, SO:0001217, UniParc:UPI0002FE7291, UniRef:UniRef100_A0A5P3KLS3, UniRef:UniRef50_Q8EAB6, UniRef:UniRef90_Q3BZI4
cluster_001_consensus	cds	106661	107863	-	FAFAHP_00470	tyrB	Aspartate/aromatic aminotransferase	COG:COG1448, COG:E, RefSeq:WP_054590719.1, SO:0001217, UniParc:UPI0006CAD08B, UniRef:UniRef100_A0A5P3KL54, UniRef:UniRef50_P72173, UniRef:UniRef90_G7TIW7
cluster_001_consensus	cds	108021	110159	+	FAFAHP_00475	fecA	Outer membrane receptor for Fe3+-dicitrate	COG:COG4772, COG:P, RefSeq:WP_039509945.1, SO:0001217, UniParc:UPI0003E06BA9, UniRef:UniRef100_A0A5P3KL28, UniRef:UniRef50_Q8PR40, UniRef:UniRef90_Q8PR40
cluster_001_consensus	cds	110813	111748	-	FAFAHP_00480		Amidinotransferase	RefSeq:WP_043087136.1, SO:0001217, UniParc:UPI000460D825, UniRef:UniRef100_A0A5P3KNF2, UniRef:UniRef90_W4RWI9
cluster_001_consensus	cds	111769	112812	-	FAFAHP_00485		Ornithine cyclodeaminase	EC:4.3.1.12, KEGG:K01750, RefSeq:WP_039509913.1, SO:0001217, UniParc:UPI000461F90E, UniRef:UniRef100_A0A5P3KLR7, UniRef:UniRef50_Q88H32, UniRef:UniRef90_A0A8D6XWL8
